Date,OpenPrice,ClosePrice,High,Low
2000-01-03,6024,5917,6102,5902
2000-01-04,5922,5672,5925,5657
2000-01-05,5522,5480,5590,5462
2000-01-06,5486,5450,5530,5389
2000-01-07,5509,5540,5562,5425
2000-01-10,5626,5646,5717,5617
2000-01-11,5634,5614,5717,5572
2000-01-12,5541,5583,5629,5537
2000-01-13,5585,5633,5682,5579
2000-01-14,5669,5787,5804,5665
2000-01-17,5835,5843,5857,5740
2000-01-18,5734,5673,5858,5670
2000-01-19,5665,5649,5668,5590
2000-01-20,5713,5710,5728,5660
2000-01-21,5656,5681,5738,5631
2000-01-24,5687,5691,5778,5681
2000-01-25,5601,5598,5655,5590
2000-01-26,5637,5646,5687,5619
2000-01-27,5686,5688,5728,5625
2000-01-28,5743,5731,5813,5696
2000-01-31,5678,5660,5708,5626
2000-02-01,5759,5773,5798,5705
2000-02-02,5814,5947,5956,5811
2000-02-03,6026,6150,6150,5979
2000-02-04,6197,6276,6312,6193
2000-02-07,6276,6204,6337,6204
2000-02-08,6252,6298,6396,6233
2000-02-09,6391,6272,6397,6240
2000-02-10,6213,6208,6251,6169
2000-02-11,6263,6287,6324,6148
2000-02-14,6242,6268,6271,6192
2000-02-15,6286,6093,6330,6077
2000-02-16,6154,6046,6178,5998
2000-02-17,6040,6155,6223,6027
2000-02-18,6166,6063,6184,6044
2000-02-21,5979,5967,5994,5928
2000-02-22,5987,5963,6066,5921
2000-02-23,6039,6031,6064,5992
2000-02-24,6106,6079,6178,6070
2000-02-25,6172,6189,6203,6123
2000-02-28,6181,6103,6230,6032
2000-02-29,6167,6191,6264,6147
2000-03-01,6272,6256,6284,6185
2000-03-02,6319,6478,6479,6276
2000-03-03,6448,6514,6556,6433
2000-03-06,6555,6546,6590,6529
2000-03-07,6507,6442,6589,6437
2000-03-08,6367,6345,6439,6333
2000-03-09,6429,6423,6448,6359
2000-03-10,6543,6510,6561,6465
2000-03-13,6477,6337,6484,6254
2000-03-14,6331,6350,6377,6272
2000-03-15,6243,6189,6250,6144
2000-03-16,6218,6259,6336,6217
2000-03-17,6440,6304,6447,6282
2000-03-20,6328,6353,6418,6319
